aahhh,0.4
aaiieeee,0.3
aa-oo-gah,0.5
abandon,-1.9
abandoned,-2
abandoning,-1.6
abdic,-1.5
abduct,-2.5
abducted,-2.3
abduction,-2.8
abductor,-2.4
abend,-0.3
abhorr,-3
abhorrent,-3.1
abid,1.6
abigail,2.3
abilities,1
ability,1.3
abishua,2
abject,-1.4
aboard,0.1
abondanza,1.2
abort,-0.2
abscond,-0.8
absenc,-0.2
absent,-0.2
absente,-0.2
absentee,-1.1
absolve,1.2
absolved,1.5
abstain,-0.9
abstin,-0.9
absurd,-0.9
abund,0.8
abundantli,0.8
abus,-1.5
abuse,-3.2
a-busi,-0.5
abusing,-2
abusive,-3.2
abuzz,-1.2
abyss,-0.7
abyssinian,-0.7
accent,0.8
accentu,0.8
accept,1.6
acceptable,1.3
acceptance,2
accepted,1.1
accepting,1.6
accepts,1.3
accident,-2.1
accidént,-0.3
accidental,-0.3
accidentally,-1.4
accidents,-1.3
acclaim,1.6
acclaimed-,1.6
accolad,1.6
accomplish,1.8
accomplished,1.9
accord,0.7
accredit,0.9
accuraci,0.5
accusation,-1
accusations,-1.3
accuse,-0.8
accused,-1.2
accuses,-1.4
accusing,-0.7
ace,0.9
a-chant,-0.3
ache,-1.6
a-cheer,0.9
aches,-1
achievable,1.3
aching,-2.2
acquir,0.5
acquit,0.8
acquitted,1
active,1.7
actively,1.3
acut,-0.8
adept,1.6
adequ,0.4
adequate,0.9
adieu,1.6
adil,0.4
adio,0.4
adject,-0.5
adjourn,-0.7
admir,0.8
admiral,1.3
admirals,1.5
admiration,2.5
admire,2.1
admired,2.3
admirer,1.8
admiring,1.6
admit,0.8
admits,1.2
admitted,0.4
adopt,0.7
adopts,0.7
ador,1.7
adorable,2.2
adore,2.6
adored,1.8
adoring,2.6
advanc,0.9
advanced,1
advantag,0.5
advantage,1
advantageous,1.5
advantages,1.5
adventur,0.8
adventure,1.3
adventures,1.4
adventurestar,0.9
adventurous,1.4
adversari,-0.8
adversaries,-1
adversary,-0.8
adversity,-1.8
advertis,-0.8
advertiser-support,-0.8
affected,-0.6
affection,2.4
affectionate,1.9
afflict,-1.6
affront,-1.8
aficionado,-0.2
aforethought,0.7
afraid,-0.2
a-frettin,-0.7
aggravate,-2.5
aggravated,-1.9
aggress,-0.8
aggression,-1.2
aggressive,-0.6
aggro,-0.8
aghast,-1.9
agin,-1.2
agitate,-1.7
agitated,-2
agitator,-1.4
agog,1.9
agon,-1.9
agoni,-1.9
agonia,-1.9
agonizing,-2.7
agony,-1.8
a-googily-doogili,0.9
agre,0.9
agree,1.5
agreeability,1.9
agreeabl,0.9
agreed,1.1
agreed-upon,0.9
agreeing,1.4
agreement,2.2
agreements,1.1
agrees,0.8
aguantes,0.7
ahdnoy,-1.8
ahead,0.7
ahead-a,0.7
ahem,0.8
ahem-glaven,0.8
ah-huh,-0.3
ahitub,0.9
ah-oo-ga,0.2
ahoy,0.2
ahoy-hoy,0.3
ahoy-hoy-hoy,0.6
aid,0.8
aie-ya-yai,0.4
aight,1.6
aiiee,1.6
aikman,1.6
ail,-1.2
aiyeee,0.3
ai-yi-yi-yi,0.3
akira,0.9
alarm,-1.4
alarmed,-1.4
